true_label,samples,accuracy,low_confidence_rate,mean_confidence,precision,recall,f1-score
6,798,97.619,9.148,0.9650044,0.9923566878980892,0.9761904761904762,0.9842072015161086
10,798,98.371,5.764,0.97964823,0.9949302915082383,0.9837092731829574,0.9892879647132955
9,798,99.123,3.759,0.9833866,0.9826086956521739,0.9912280701754386,0.9868995633187773
2,798,99.248,3.634,0.9868861,0.9826302729528535,0.9924812030075187,0.9875311720698254
5,798,99.123,3.509,0.9867716,0.98875,0.9912280701754386,0.9899874843554443
3,798,99.123,2.381,0.989234,0.9987373737373737,0.9912280701754386,0.9949685534591195
1,797,99.749,1.882,0.99199176,0.9888059701492538,0.9974905897114178,0.9931292941911305
8,798,99.624,1.253,0.9949784,0.9912718204488778,0.9962406015037594,0.99375
4,798,100.0,0.376,0.998627,1.0,1.0,1.0
7,798,100.0,0.125,0.99947846,1.0,1.0,1.0
11,798,100.0,0.0,0.99999976,1.0,1.0,1.0
