class_label,precision,recall,f1-score,support
1,0.9888059701492538,0.9974905897114178,0.9931292941911305,797.0
2,0.9826302729528535,0.9924812030075187,0.9875311720698254,798.0
3,0.9987373737373737,0.9912280701754386,0.9949685534591195,798.0
4,1.0,1.0,1.0,798.0
5,0.98875,0.9912280701754386,0.9899874843554443,798.0
6,0.9923566878980892,0.9761904761904762,0.9842072015161086,798.0
7,1.0,1.0,1.0,798.0
8,0.9912718204488778,0.9962406015037594,0.99375,798.0
9,0.9826086956521739,0.9912280701754386,0.9868995633187773,798.0
10,0.9949302915082383,0.9837092731829574,0.9892879647132955,798.0
11,1.0,1.0,1.0,798.0
